symbol,name,price,marketCap,volume,industry
FSLR,First Solar Inc. Common Stock,195.86,21045305854.0,1686682,Technology
VLTO,Veralto Corp Common Stock ,85.6,21020374015.0,2779145,Industrials
WST,West Pharmaceutical Services Inc. Common Stock,292.13,20638281927.0,1186543,Health Care
CPAY,Corpay Inc. Common Stock,311.57,20604744124.0,435023,Real Estate
EFX,Equifax Inc. Common Stock,171.71,20445923349.0,1160637,Finance
PKG,Packaging Corporation of America Common Stock,222.59,19816732281.0,1558323,Consumer Discretionary
EXPD,Expeditors International of Washington Inc. Common Stock,147.38,19599182952.0,985573,Industrials
SNA,Snap-On Incorporated Common Stock,377.53,19556777347.0,437735,Consumer Discretionary
INCY,Incyte Corp. Common Stock,97.74,19451675862.0,2531200,Health Care
DLTR,Dollar Tree Inc. Common Stock,98.22,19378630874.0,3654727,Consumer Discretionary
FTV,Fortive Corporation Common Stock ,61.77,19016462166.0,3177715,Industrials
EVRG,Evergy Inc. Common Stock,81.92,18864877486.0,1363299,Utilities
CF,CF Industries Holdings Inc. Common Stock,122.31,18788826043.0,2065397,Industrials
TSCO,Tractor Supply Company Common Stock,35.59,18720564715.0,9745844,Consumer Discretionary
LNT,Alliant Energy Corporation Common Stock,72.46,18714713958.0,1726448,Utilities
MRNA,Moderna Inc. Common Stock,47.14,18695104675.0,3640420,Health Care
GPN,Global Payments Inc. Common Stock,67.89,18686248153.0,1791227,Real Estate
DD,DuPont de Nemours Inc. Common Stock,45.33,18578694150.0,2480859,Industrials
LUV,Southwest Airlines Company Common Stock,38.01,18578288831.0,4594118,Consumer Discretionary
GIS,General Mills Inc. Common Stock,34.75,18545422326.0,10465563,Consumer Staples
BR,Broadridge Financial Solutions Inc. Common Stock,158.83,18543198403.0,793272,Real Estate
LDOS,Leidos Holdings Inc. Common Stock,146.15,18432161630.0,870679,Technology
HPQ,HP Inc. Common Stock,19.73,18107895130.0,12368263,Technology
IFF,International Flavors & Fragrances Inc. Common Stock,70.77,18080141755.0,1550154,Industrials
IP,International Paper Company Common Stock,34.02,18013120898.0,8237142,Basic Materials
NVR,NVR Inc. Common Stock,6442.36,17897642721.0,19084,Consumer Discretionary
WY,Weyerhaeuser Company Common Stock,24.82,17896277555.0,3987761,Real Estate
AMCR,Amcor plc Ordinary Shares,38.54,17807240893.0,4426860,Consumer Discretionary
ESS,Essex Property Trust Inc. Common Stock,267.88,17272133317.0,718912,Real Estate
EG,Everest Group Ltd. Common Stock,347.07,17263301713.0,209861,Finance
VTRS,Viatris Inc. Common Stock,14.82,17256717871.0,10904045,Health Care
LII,Lennox International Inc. Common Stock,495.52,17234835722.0,558566,Industrials
FFIV,F5 Inc. Common Stock,303.79,17169989945.0,1712637,Telecommunications
INVH,Invitation Homes Inc. Common Stock,28.14,17148124657.0,6624108,Finance
CDW,CDW Corporation Common Stock,132.92,17107851543.0,711825,Technology
NWS,News Corporation Class B Common Stock,30.14,16739094728.0,1081887,Consumer Discretionary
BALL,Ball Corporation Common Stock,61.43,16349782353.0,3818252,Industrials
SMCI,Super Micro Computer Inc. Common Stock,27.25,16322461913.0,23247876,Technology
PTC,PTC Inc. Common Stock,137.11,16315557465.0,1420791,Technology
KIM,Kimco Realty Corporation (HC) Common Stock,23.8,16050796446.0,3953415,Real Estate
ZBH,Zimmer Biomet Holdings Inc. Common Stock,82.8,16027519990.0,9824259,Health Care
LULU,lululemon athletica inc. Common Stock,142.39,15731627524.0,2587203,Consumer Discretionary
NDSN,Nordson Corporation Common Stock,281.79,15719260080.0,322638,Industrials
TRMB,Trimble Inc. Common Stock,66.64,15466393034.0,1691205,Industrials
TXT,Textron Inc. Common Stock,88.14,15350677197.0,904001,Industrials
BEN,Franklin Resources Inc. Common Stock,29.46,15341691178.0,11369999,Finance
IEX,IDEX Corporation Common Stock,205.36,15238249222.0,811651,Industrials
MAA,Mid-America Apartment Communities Inc. Common Stock,130.38,15169404782.0,1012768,Real Estate
CSGP,CoStar Group Inc. Common Stock,35.96,15095767104.0,7350033,Real Estate
DECK,Deckers Outdoor Corporation Common Stock,106.18,15072247921.0,1299951,Consumer Discretionary
MAS,Masco Corporation Common Stock,74.34,14996938047.0,3454548,Industrials
J,Jacobs Solutions Inc. Common Stock,126.46,14852311326.0,768225,Industrials
REG,Regency Centers Corporation Common Stock,80.31,14703425364.0,1737758,Real Estate
NWSA,News Corporation Class A Common Stock,26.16,14528690050.0,4298442,Consumer Discretionary
GPC,Genuine Parts Company Common Stock,105.41,14507003288.0,977390,Consumer Discretionary
TYL,Tyler Technologies Inc. Common Stock,340.46,14453786702.0,576602,Technology
HST,Host Hotels & Resorts Inc. Common Stock,20.94,14392759281.0,7305575,Real Estate
HII,Huntington Ingalls Industries Inc. Common Stock,361.4,14230909599.0,388199,Industrials
AKAM,Akamai Technologies Inc. Common Stock,95.43,14049495471.0,2784593,Real Estate
MKC,McCormick & Company Incorporated Common Stock,51.14,13742594966.0,3044838,Consumer Staples
APA,APA Corporation Common Stock,38.65,13658926001.0,6092420,Energy
HAS,Hasbro Inc. Common Stock,95.54,13526177537.0,1629944,Consumer Discretionary
PNR,Pentair plc. Ordinary Share,82.86,13390408008.0,6241912,Industrials
AVY,Avery Dennison Corporation Common Stock,166.49,12805916491.0,1107320,Consumer Discretionary
GNRC,Generac Holdlings Inc. Common Stock,217.12,12739695558.0,1189562,Consumer Discretionary
ALGN,Align Technology Inc. Common Stock,177.28,12696310512.0,1705635,Health Care
PODD,Insulet Corporation Common Stock,182.87,12666255379.0,1185061,Health Care
APTV,Aptiv PLC Ordinary Shares,59.12,12600915134.0,2664657,Consumer Discretionary
PNW,Pinnacle West Capital Corporation Common Stock,103.12,12480165234.0,1147143,Utilities
BBY,Best Buy Co. Inc. Common Stock,59.11,12360644426.0,2800912,Consumer Discretionary
COO,The Cooper Companies Inc. Common Stock,63.09,12309767370.0,2470970,Health Care
SWK,Stanley Black & Decker Inc. Common Stock,78.33,12147374728.0,2722976,Consumer Discretionary
GL,Globe Life Inc. Common Stock,152.67,11976691885.0,624939,Finance
ALLE,Allegion plc Ordinary Shares,137.86,11847103184.0,2765696,Consumer Discretionary
UDR,UDR Inc. Common Stock,36.21,11800622500.0,4307826,Real Estate
HRL,Hormel Foods Corporation Common Stock,21.31,11726556451.0,3435208,Consumer Staples
SOLV,Solventum Corporation Common Stock,67.51,11706588698.0,989825,Health Care
AIZ,Assurant Inc. Common Stock,235.4,11700537226.0,470007,Finance
PSKY,Paramount Skydance Corporation Class B Common Stock,10.52,11695516467.0,9170183,Industrials
CLX,Clorox Company (The) Common Stock,96.6,11680085966.0,3110850,Consumer Discretionary
GEN,Gen Digital Inc. Common Stock,19.25,11659027650.0,6490005,Technology
IVZ,Invesco Ltd Common Stock,25.86,11464276586.0,10784908,Finance
DPZ,Domino's Pizza Inc Common Stock,340.46,11449294273.0,1668954,Consumer Discretionary
GDDY,GoDaddy Inc. Class A Common Stock,85.3,11319044973.0,2392569,Technology
DOC,Healthpeak Properties Inc. Common Stock,16.05,11158869393.0,9964551,Real Estate
CPT,Camden Property Trust Common Stock,105.93,11093679310.0,1455422,Real Estate
WYNN,Wynn Resorts Limited Common stock,106.2,11049408655.0,1083993,Consumer Discretionary
JKHY,Jack Henry & Associates Inc. Common Stock,152.8,11027173830.0,621991,Technology
TTD,The Trade Desk Inc. Class A Common Stock,23.23,10920371174.0,10829754,Technology
ERIE,Erie Indemnity Company Class A Common Stock,229.94,10621298803.0,232261,Finance
ZBRA,Zebra Technologies Corporation Class A Common Stock,219.24,10603018178.0,760794,Industrials
SJM,The J.M. Smucker Company Common Stock,98.05,10456867678.0,3771070,Consumer Staples
AES,The AES Corporation Common Stock,14.48,10325277101.0,12718187,Utilities
MGM,MGM Resorts International Common Stock,39.74,10167345633.0,4520413,Consumer Discretionary
IT,Gartner Inc. Common Stock,150.12,10134629873.0,1352475,Consumer Discretionary
UHS,Universal Health Services Inc. Common Stock,162.54,9919771989.0,1618870,Health Care
DVA,DaVita Inc. Common Stock,150.07,9896267404.0,466375,Health Care
BLDR,Builders FirstSource Inc. Common Stock,88.12,9746883409.0,1987947,Consumer Discretionary
FRT,Federal Realty Investment Trust Common Stock,112.39,9709171259.0,713878,Real Estate
RVTY,Revvity Inc. Common Stock,85.18,9523407394.0,1107710,Industrials
BXP,BXP Inc. Common Stock,59.16,9387269912.0,2747897,Real Estate
BAX,Baxter International Inc. Common Stock,17.94,9239100000.0,9652817,Health Care
SWKS,Skyworks Solutions Inc. Common Stock,60.98,9171751965.0,2773228,Technology
AOS,A.O. Smith Corporation Common Stock,63.91,8838108595.0,1260855,Consumer Discretionary
HSIC,Henry Schein Inc. Common Stock,76.12,8734621642.0,1119208,Health Care
TECH,Bio-Techne Corp Common Stock,53.51,8371815655.0,1618898,Health Care
FDS,FactSet Research Systems Inc. Common Stock,229.56,8363129514.0,522997,Technology
CRL,Charles River Laboratories International Inc. Common Stock,166.79,8229745508.0,633359,Health Care
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,17.79,8104156953.0,16540665,Consumer Discretionary
TAP,Molson Coors Beverage Company Class B Common Stock,42.56,8000228215.0,3222460,Consumer Staples
POOL,Pool Corporation Common Stock,216.28,7937602308.0,978804,Consumer Discretionary
MOS,Mosaic Company (The) Common Stock,23.19,7370863674.0,9587537,Industrials
ARE,Alexandria Real Estate Equities Inc. Common Stock,40.41,6996065384.0,6105038,Real Estate
CAG,ConAgra Brands Inc. Common Stock,14.27,6827298216.0,13598709,Consumer Staples
CPB,The Campbell's Company Common Stock,20.54,6123928864.0,6002398,Consumer Staples
EPAM,EPAM Systems Inc. Common Stock,114.15,5986518215.0,1523344,Technology
BF/B,Brown Forman Corporation,27.73,,2554184,
